"RGI	Código no Mapa	Empreendimento	Edifício	Zona de Valor	Endereço	Bairro	Distrito	Região	Cidade	UF	CEP	Zoneamento	Setor	Quadra	Data Lançamento	Data Entrega	Data Ocupação	Data Projeto Aprovado	Tipologia	Classificação do tipo	Padrão	Status	Área Terreno	Área Total Construída	Torres	Nº de Elevadores	Registro de Incorporação	Infraestrutura	Grupo Incorporador Apelido	Grupo Incorporador	Incorporadora 1	Incorporadora 2	Incorporadora 3	Incorporadora 4	Construtora 1	Construtora 2	Vendedora 1	Vendedora 2	Vendedora 3	Vendedora 4	Banco	Unidade	Dormitórios	Suítes	Banheiros	Nº Vagas	Área Privativa	Área Total	Nº Total de Unidades	Nº Unidades por Pavimento	Nº de Pavimentos	Valor do Dolar no lançamento	(VMU)Preço de venda da unidade no lançamento	(VUV)Preço m2 privativo no lançamento	(VMU)Preço de venda da unidade atualizado INCC	(VUV)Preço m2 privativo atualizado INCC	(VMU)Preço de venda da unidade atualizado IGPM	(VUV)Preço m2 privativo atualizado IGPM	(VMU)Preço de venda da unidade atualizado CUB	(VUV)Preço m2 privativo atualizado CUB	(VMU)Preço de venda da unidade na data pesquisa	(VUV)Preço m2 privativo na data pesquisa	% Unidades Vendidas	% Unidades a Vender	Unidades Vendidas	Qtd em Estoque	VGV	Modalidade	Banco	Condições de pagamento	Responsabilidade do Comprador	Data Pesquisa";
"32273218	4	ALVORADA		SOROCABA - SP	AV BETANIA. 800	JARDIM BETANIA	SEM DISTRITO		SOROCABA	SP	18071-590	ZR 3	0	0	42856	43525	0	0	Res. Vertical	ECONOMICO	PADRAO MEDIO-S/ELEVADOR	EM OBRAS	830		1	1			L FURTADO	L FURTADO CONSTRUTORA	L FURTADO CONSTRUTORA				L FURTADO CONSTRUTORA		L FURTADO CONSTRUTORA	HAREA NEGOCIOS IMOBILIARIOS				TERREO	1	0	1	1	42.2	63.3	1	6	3	32.087	131991	3127.75	138917.83	3291.89	140896.52	3338.78	137298.15	3253.51	131991	3127.75	100	0	1	0	131991	Preço Fechado				43229";
"383111111	5	ARVOREDO		SOROCABA - SP	R SANTI PEGORETTI. 50	JARDIM GERMINIANI	SEM DISTRITO	INTERIOR	SOROCABA	SP	18080-640		0	0	41821	42522	0	0	Res. Horizontal	MEDIO	PADRAO MEDIO-S/ELEVADOR	EM OBRAS	14000		0	0		Quadra Poli-Esportiva. Churrasqueira. Piscina Adulta. Espaco Gourmet. Salao de Festas. Salao de Jogos. Estacionamento de Visitantes. Piscina Infantil. Forno a Lenha. Pista de Cooper. Playground. Jardins. Fitness.	VILAR	VILAR EMPREENDIMENTOS	VILAR EMPREENDIMENTOS				VILAR EMPREENDIMENTOS		MENDES ORTEGA ASSESSORIA IMOBILIARIA					SOBRADO	3	1	2	2	138.12	207.18	42	0	2	222.465	442035	3200.37	545479.17	3949.31	561854.91	4067.88	517953.83	3750.03	458000	3315.96	100	0	42	0	18565470	Preço Fechado				42341";
"39937813	6	ARVORES DA AMAZONIA	TORRE 1. TORRE 2. TORRE 3	SOROCABA - SP	R SERGIO LAMARCA. 240	JARDIM SAO CARLOS	SEM DISTRITO	INTERIOR	SOROCABA	SP	18046-370	ZR 2	0	0	41487	43344	0	0	Res. Vertical	ECONOMICO	PADRAO MEDIO-C/ELEVADOR	PRONTO	3440.05		3	2		Quadra Gramada. Piscina Adulta. Salao de Festas. Playground. Fitness.	MP	MP CONSTRUTORA E INCORPORADORA	MP CONSTRUTORA E INCORPORADORA				MP CONSTRUTORA E INCORPORADORA		MP CONSTRUTORA E INCORPORADORA					2 DORMS	2	0	1	1	51	76.5	180	4	16	234.209	135828	2663.29	179652.56	3522.59	181566.08	3560.11	168937.87	3312.5	175200	3435.29	811.111.111.111.111	188.888.888.888.889	146	34	24449040	Preço Fechado				43374";
"39937813	6	ARVORES DA AMAZONIA	TORRE 1. TORRE 2. TORRE 3	SOROCABA - SP	R SERGIO LAMARCA. 240	JARDIM SAO CARLOS	SEM DISTRITO	INTERIOR	SOROCABA	SP	18046-370	ZR 2	0	0	41487	43344	0	0	Res. Vertical	MEDIO BAIXO	PADRAO MEDIO-C/ELEVADOR	PRONTO	3440.05		3	2		Quadra Gramada. Piscina Adulta. Salao de Festas. Playground. Fitness.	MP	MP CONSTRUTORA E INCORPORADORA	MP CONSTRUTORA E INCORPORADORA				MP CONSTRUTORA E INCORPORADORA		MP CONSTRUTORA E INCORPORADORA					DUPLEX	3	2	3	2	102	153	6	4	16	234.209	277398	2719.59	366899.77	3597.06	370807.69	3635.37	345017.42	3382.53	329000	3225.49	100	0	6	0	1664388	Preço Fechado				43223";
"39937813	6	ARVORES DA AMAZONIA	TORRE 1. TORRE 2. TORRE 3	SOROCABA - SP	R SERGIO LAMARCA. 240	JARDIM SAO CARLOS	SEM DISTRITO	INTERIOR	SOROCABA	SP	18046-370	ZR 2	0	0	41487	43344	0	0	Res. Vertical	ECONOMICO	PADRAO MEDIO-C/ELEVADOR	PRONTO	3440.05		3	2		Quadra Gramada. Piscina Adulta. Salao de Festas. Playground. Fitness.	MP	MP CONSTRUTORA E INCORPORADORA	MP CONSTRUTORA E INCORPORADORA				MP CONSTRUTORA E INCORPORADORA		MP CONSTRUTORA E INCORPORADORA					GARDEN	2	0	1	1	76	114	6	4	16	234.209	139788	1839.32	184890.25	2432.77	186859.55	2458.68	173863.17	2287.68	232470	3058.82	100	0	6	0	838728	Preço Fechado				43038";
"37374413	7	ATELIE CAMPOLIM	TORRE 1. TORRE 2	SOROCABA - SP	R ALMIRANTE GIACHETTA. 143	PARQUE CAMPOLIM	SEM DISTRITO	INTERIOR	SOROCABA	SP	18048-000		0	0	41275	42278	0	0	Res. Vertical	MEDIO BAIXO	PADRAO MEDIO-C/ELEVADOR	PRONTO	4555		2	2		Academia. Churrasqueira. Piscina Adulta. Salao de Festas. Playground. Brinquedoteca. Fitness.	CRB	CRB INCORPORACAO E CONSTRUCAO LTDA	CRB INCORPORACAO E CONSTRUCAO LTDA				CRB INCORPORACAO E CONSTRUCAO LTDA		CRB IMOVEIS					2 DORMS	2	1	2	2	60	90	72	4	9	203.108	207539	3458.98	290621.11	4843.68	282460.3	4707.67	275784.24	4596.4	230000	3833.33	100	0	72	0	14942808	Preço Fechado				41556";
"39420713	8	ATRIUM		SOROCABA - SP	R ORLANDO BISMARA. 195	JARDIM NOVA MANCHESTER	SEM DISTRITO	INTERIOR	SOROCABA	SP	18052-015		0	0	41518	43009	0	0	Res. Vertical	MEDIO BAIXO	PADRAO MEDIO-C/ELEVADOR	PRONTO	1518.35		1	2		Piscina Adulta. Salao de Festas. Piscina Infantil. Fitness.	CIVIL	CIVIL ENGENHARIA E EMPREENDIMENTOS	CIVIL ENGENHARIA E EMPREENDIMENTOS				CIVIL ENGENHARIA E EMPREENDIMENTOS		MENDES ORTEGA ASSESSORIA IMOBILIARIA					3 DORMS	3	1	2	2	71.58	107.37	39	8	9	227.051	251370	3511.74	331034.95	4624.69	331051.94	4624.93	312265.37	4362.47	313000	4372.73	100	0	39	0	9803430	Preço Fechado				43224";
"39420713	8	ATRIUM		SOROCABA - SP	R ORLANDO BISMARA. 195	JARDIM NOVA MANCHESTER	SEM DISTRITO	INTERIOR	SOROCABA	SP	18052-015		0	0	41518	43009	0	0	Res. Vertical	MEDIO	PADRAO MEDIO-C/ELEVADOR	PRONTO	1518.35		1	2		Piscina Adulta. Salao de Festas. Piscina Infantil. Fitness.	CIVIL	CIVIL ENGENHARIA E EMPREENDIMENTOS	CIVIL ENGENHARIA E EMPREENDIMENTOS				CIVIL ENGENHARIA E EMPREENDIMENTOS		MENDES ORTEGA ASSESSORIA IMOBILIARIA					COBERTURA	3	2	3	2	138	207	4	8	9	227.051	429401	3111.6	565488.08	4097.74	565517.1	4097.95	533425.08	3865.4	527000	3818.84	100	0	4	0	1717604	Preço Fechado				43116";
"39420713	8	ATRIUM		SOROCABA - SP	R ORLANDO BISMARA. 195	JARDIM NOVA MANCHESTER	SEM DISTRITO	INTERIOR	SOROCABA	SP	18052-015		0	0	41518	43009	0	0	Res. Vertical	MEDIO BAIXO	PADRAO MEDIO-C/ELEVADOR	PRONTO	1518.35		1	2		Piscina Adulta. Salao de Festas. Piscina Infantil. Fitness.	CIVIL	CIVIL ENGENHARIA E EMPREENDIMENTOS	CIVIL ENGENHARIA E EMPREENDIMENTOS				CIVIL ENGENHARIA E EMPREENDIMENTOS		MENDES ORTEGA ASSESSORIA IMOBILIARIA					3 DORMS	3	1	2	2	66	99	39	8	9	227.051	237619	3600.29	312925.94	4741.3	312942	4741.55	295183.14	4472.47	275500	4174.24	100	0	39	0	9267141	Preço Fechado				43116";
"34948316	9	BEATRIZ		SOROCABA - SP	R JERONIMO ANTONIO FIUZA. 130	VILA HORTENCIA	SEM DISTRITO		SOROCABA	SP	18020-280	ZR 2	0	0	42156	42522	0	0	Res. Horizontal	ECONOMICO	PADRAO MEDIO-S/ELEVADOR	PRONTO	1721.41		0	0			ESC	ESC CONSTRUTORA E INCORPORADORA	ESC CONSTRUTORA E INCORPORADORA	3R INCORPORADORA			ESC CONSTRUTORA E INCORPORADORA	3R INCORPORADORA	NETO CASA					CASA	2	0	1	1	54	76	14	0	1	311.174	190000	3518.52	220824.47	4089.34	227321.04	4209.65	212063.61	3927.11	210000	3888.89	100	0	14	0	2660000	Preço Fechado				43087";
